skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_sv_antal_m_betyg_tcv1,skolverket_sv_andel_sankt_tcv1,skolverket_sv_andel_lika_tcv1,skolverket_sv_andel_hojt_tcv1,skolverket_ma_antal_m_betyg_tcv1,skolverket_ma_andel_sankt_tcv1,skolverket_ma_andel_lika_tcv1,skolverket_ma_andel_hojt_tcv1,skolverket_en_antal_m_betyg_tcv1,skolverket_en_andel_sankt_tcv1,skolverket_en_andel_lika_tcv1,skolverket_en_andel_hojt_tcv1,skolverket_sva_antal_m_betyg_tcv1,skolverket_sva_andel_sankt_tcv1,skolverket_sva_andel_lika_tcv1,skolverket_sva_andel_hojt_tcv1,year
Fröknegårdskolan H2,97438636,Kristianstad,1290,Kommunal,Kristianstad,2120000951,48,"2,1","43,8","54,2",.,.,.,.,92,"7,6","77,2","15,2",44,"15,9","52,3","31,8",2018
Kristianstads Montessoriskola,72491525,Kristianstad,1290,Enskild,Pysslingen Förskolor och Skolor AB,5560354309,28,"21,4","60,7","17,9",.,.,.,.,31,"16,1","80,6","3,2",.,.,.,.,2018
Norretullskolan,59782586,Kristianstad,1290,Kommunal,Kristianstad,2120000951,20,"5,0","55,0","40,0",.,.,.,.,47,"14,9","80,9","4,3",23,"8,7","78,3","13,0",2018
Nosabyskolan Bild o form,97295152,Kristianstad,1290,Kommunal,Kristianstad,2120000951,20,"10,0","65,0","25,0",.,.,.,.,27,.,"81,5","18,5",.,.,.,.,2018
Nosabyskolan H,98284563,Kristianstad,1290,Kommunal,Kristianstad,2120000951,79,"7,6","70,9","21,5",.,.,.,.,98,"23,5","71,4","5,1",17,"5,9","70,6","23,5",2018
Rönnowskolan MH,13756290,Kristianstad,1290,Kommunal,Kristianstad,2120000951,56,"3,6","80,4","16,1",.,.,.,.,61,"21,3","57,4","21,3",.,.,.,.,2018
Slättängsskolan H,63356940,Kristianstad,1290,Kommunal,Kristianstad,2120000951,51,"9,8","66,7","23,5",.,.,.,.,67,"7,5","70,1","22,4",32,"12,5","62,5","25,0",2018
Spängerskolan MH,63749463,Kristianstad,1290,Kommunal,Kristianstad,2120000951,25,"12,0","80,0","8,0",.,.,.,.,30,"13,3","73,3","13,3",.,.,.,.,2018
Sånnaskolan H,85853304,Kristianstad,1290,Kommunal,Kristianstad,2120000951,60,"20,0","65,0","15,0",.,.,.,.,63,"44,4","54,0","1,6",.,.,.,.,2018
Tollarps skola MH,45430802,Kristianstad,1290,Kommunal,Kristianstad,2120000951,36,"2,8","61,1","36,1",.,.,.,.,41,"7,3","92,7",.,.,.,.,.,2018
Väskolan MH,75922665,Kristianstad,1290,Kommunal,Kristianstad,2120000951,46,"6,5","71,7","21,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
Öllsjöskolan MH,46211392,Kristianstad,1290,Kommunal,Kristianstad,2120000951,28,"21,4","35,7","42,9",.,.,.,.,30,.,"86,7","13,3",.,.,.,.,2018
Önnestads skola MH,18636287,Kristianstad,1290,Kommunal,Kristianstad,2120000951,36,"11,1","50,0","38,9",.,.,.,.,38,"31,6","68,4",.,.,.,.,.,2018
Djurgårdsskolan F-9,55509192,Kristinehamn,1781,Kommunal,Kristinehamn,2120001868,72,"12,5","59,7","27,8",.,.,.,.,74,"18,9","63,5","17,6",.,.,.,.,2018
Stenstalidskolan F-9,14885908,Kristinehamn,1781,Kommunal,Kristinehamn,2120001868,78,"11,5","61,5","26,9",.,.,.,.,82,"8,5","73,2","18,3",.,.,.,.,2018
Södermalmsskolan F-9,27777261,Kristinehamn,1781,Kommunal,Kristinehamn,2120001868,52,"1,9","55,8","42,3",.,.,.,.,63,"6,3","76,2","17,5",.,.,.,.,2018
Nyhedens skola,40025257,Krokom,2309,Kommunal,Krokom,2120002478,79,"8,9","54,4","36,7",.,.,.,.,81,"7,4","85,2","7,4",.,.,.,.,2018
Ås skola 4-9,54952732,Krokom,2309,Kommunal,Krokom,2120002478,47,"10,6","51,1","38,3",.,.,.,.,48,"18,8","75,0","6,3",.,.,.,.,2018
Änge skola 4-9,25036714,Krokom,2309,Kommunal,Krokom,2120002478,40,"10,0","67,5","22,5",.,.,.,.,39,.,"94,9","5,1",.,.,.,.,2018
Kumlaby skola 7-9,75692870,Kumla,1881,Kommunal,Kumla,2120001975,62,"4,8","64,5","30,6",.,.,.,.,68,"5,9","76,5","17,6",.,.,.,.,2018
Skogstorpsskolan 7-9,44243725,Kumla,1881,Kommunal,Kumla,2120001975,90,"13,3","61,1","25,6",.,.,.,.,96,"10,4","68,8","20,8",.,.,.,.,2018
Vialundskolan,99992013,Kumla,1881,Kommunal,Kumla,2120001975,41,"7,3","65,9","26,8",.,.,.,.,46,"26,1","60,9","13,0",.,.,.,.,2018
Frillesåsskolan 4-9,10927868,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,42,"28,6","59,5","11,9",.,.,.,.,42,"21,4","71,4","7,1",.,.,.,.,2018
Fullriggaren Malevik 4-9,33170625,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,45,"6,7","53,3","40,0",.,.,.,.,.,.,.,.,.,.,.,.,2018
Hedeskolan 4-9,11231816,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,.,.,.,.,.,.,.,.,46,"15,2","71,7","13,0",.,.,.,.,2018
Hålabäcksskolan 6-9,99688470,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,57,"12,3","70,2","17,5",.,.,.,.,62,"35,5","61,3","3,2",.,.,.,.,2018
Kapareskolan A-D,28803215,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,68,"11,8","70,6","17,6",.,.,.,.,66,"13,6","78,8","7,6",.,.,.,.,2018
Kapareskolan E-H,84111198,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,58,"12,1","39,7","48,3",.,.,.,.,60,"38,3","55,0","6,7",.,.,.,.,2018
Kollaskolan 6-9,47579620,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,60,"5,0","65,0","30,0",.,.,.,.,62,"16,1","77,4","6,5",.,.,.,.,2018
Kullaviksskolan 7-9,75835202,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,85,"4,7","48,2","47,1",.,.,.,.,84,"2,4","96,4","1,2",.,.,.,.,2018
Nova Montessoriskola,47832100,Kungsbacka,1384,Enskild,Montenova Montessoriskola Ekonomisk Förening,7696022248,25,"16,0","52,0","32,0",.,.,.,.,27,"25,9","70,4","3,7",.,.,.,.,2018
Onsala Montessoriskola,90784555,Kungsbacka,1384,Enskild,Montessoriskolan i Onsala Ekonomisk Förening,7696013361,18,.,"66,7","33,3",.,.,.,.,16,.,"93,8","6,3",.,.,.,.,2018
Smedingeskolan A,68861484,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,45,"4,4","46,7","48,9",.,.,.,.,43,"2,3","46,5","51,2",.,.,.,.,2018
Smedingeskolan B,29293076,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,40,"17,5","42,5","40,0",.,.,.,.,38,"21,1","71,1","7,9",.,.,.,.,2018
Särö skola 4-9,72090315,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,51,"3,9","54,9","41,2",.,.,.,.,56,"21,4","60,7","17,9",.,.,.,.,2018
Toråsskolan 4-9,14101582,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,64,"9,4","70,3","20,3",.,.,.,.,65,"7,7","86,2","6,2",.,.,.,.,2018
Varlaskolan norra,37101902,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,62,"8,1","61,3","30,6",.,.,.,.,44,"29,5","59,1","11,4",.,.,.,.,2018
Varlaskolan södra,70143574,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,71,"23,9","50,7","25,4",.,.,.,.,76,"10,5","71,1","18,4",.,.,.,.,2018
Vittra Forsgläntan,42568760,Kungsbacka,1384,Enskild,Vittraskolorna AB,5564586716,42,"4,8","52,4","42,9",.,.,.,.,.,.,.,.,.,.,.,.,2018
Åsa Gårdsskola 4-9,16824824,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,27,"33,3","59,3","7,4",.,.,.,.,27,"14,8","81,5","3,7",.,.,.,.,2018
Åsaskolan 6-9,18035112,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,52,"5,8","51,9","42,3",.,.,.,.,56,"35,7","62,5","1,8",.,.,.,.,2018
Älvsåkersskolan 4-9,74587667,Kungsbacka,1384,Kommunal,Kungsbacka,2120001256,32,"6,3","68,8","25,0",.,.,.,.,28,"3,6","89,3","7,1",.,.,.,.,2018
Kung Karl 79,46834580,Kungsör,1960,Kommunal,Kungsör,2120002056,54,"38,9","27,8","33,3",.,.,.,.,67,"53,7","11,9","34,3",.,.,.,.,2018
"Fredkullaskolan ,waldorfskola,",38353942,Kungälv,1482,Enskild,Föreningen För Waldorfpedagogik i Kungälv,8533007038,17,"5,9","41,2","52,9",.,.,.,.,18,.,"83,3","16,7",.,.,.,.,2018
Friskolan i Kärna,25790317,Kungälv,1482,Enskild,Mona Hurtig Skol AB,5565204129,28,"17,9","75,0","7,1",.,.,.,.,30,.,"90,0","10,0",.,.,.,.,2018
Montessoriskolan Älvkullen,49323438,Kungälv,1482,Enskild,Stiftelsen Montessori För Alla Barn,8533010537,15,"33,3","53,3","13,3",.,.,.,.,15,.,"53,3","46,7",.,.,.,.,2018
Munkegärdeskolan,51596946,Kungälv,1482,Kommunal,Kungälv,2120001371,95,"12,6","50,5","36,8",.,.,.,.,100,"36,0","48,0","16,0",.,.,.,.,2018
Strandskolan,21917957,Kungälv,1482,Enskild,"Strandskolan, Montessoriföreningen i Kungälv",8533007004,27,"11,1","70,4","18,5",.,.,.,.,27,.,"74,1","25,9",.,.,.,.,2018
Thorildskolan,73505986,Kungälv,1482,Kommunal,Kungälv,2120001371,23,"4,3","43,5","52,2",.,.,.,.,120,"3,3","82,5","14,2",.,.,.,.,2018
Ytterbyskolan 1,63621283,Kungälv,1482,Kommunal,Kungälv,2120001371,131,"9,2","55,0","35,9",.,.,.,.,135,"11,9","75,6","12,6",.,.,.,.,2018
Barsebäcks Montessoriskola,22957852,Kävlinge,1261,Enskild,Barsebäcks Montessori Ekonomisk Förening,7696006191,23,"8,7","56,5","34,8",.,.,.,.,23,"4,3","95,7",.,.,.,.,.,2018
Björkenässkolan,19504051,Kävlinge,1261,Enskild,AcadeMedia fria grundskolor AB,5569320699,45,.,"60,0","40,0",.,.,.,.,45,"2,2","93,3","4,4",.,.,.,.,2018
Korsbackaskolan,46107605,Kävlinge,1261,Kommunal,Kävlinge,2120001058,140,"15,0","52,9","32,1",.,.,.,.,145,"9,0","68,3","22,8",.,.,.,.,2018
Tolvåkerskolan,13578112,Kävlinge,1261,Kommunal,Kävlinge,2120001058,164,"6,7","73,2","20,1",.,.,.,.,164,"4,3","89,0","6,7",.,.,.,.,2018
Karlbergsskolan,31319179,Köping,1983,Kommunal,Köping,2120002114,92,"6,5","67,4","26,1",.,.,.,.,.,.,.,.,16,"6,3","75,0","18,8",2018
Malmaskolan 3-9,49665496,Köping,1983,Kommunal,Köping,2120002114,49,"12,2","53,1","34,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
Scheeleskolan,24379201,Köping,1983,Kommunal,Köping,2120002114,66,"9,1","48,5","42,4",.,.,.,.,79,"10,1","72,2","17,7",15,.,"26,7","73,3",2018
Lagaholmsskolan,50150550,Laholm,1381,Kommunal,Laholm,2120001223,90,"2,2","57,8","40,0",.,.,.,.,104,"20,2","73,1","6,7",.,.,.,.,2018
Veingeskolan 7-9,95134514,Laholm,1381,Kommunal,Laholm,2120001223,84,"9,5","73,8","16,7",.,.,.,.,93,"5,4","90,3","4,3",15,.,"100,0",.,2018
Våxtorpsskolan,35795213,Laholm,1381,Kommunal,Laholm,2120001223,70,"21,4","62,9","15,7",.,.,.,.,73,"9,6","82,2","8,2",.,.,.,.,2018
Asmundtorps skola,70803452,Landskrona,1282,Kommunal,Landskrona,2120001140,.,.,.,.,.,.,.,.,48,"14,6","58,3","27,1",.,.,.,.,2018
Glumslövs skola,30917121,Landskrona,1282,Kommunal,Landskrona,2120001140,42,"23,8","54,8","21,4",.,.,.,.,46,"10,9","84,8","4,3",.,.,.,.,2018
Kunskapsskolan Landskrona,60956248,Landskrona,1282,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,48,"10,4","79,2","10,4",.,.,.,.,.,.,.,.,.,.,.,.,2018
Landskrona School of Sports AB,70072964,Landskrona,1282,Enskild,Landskrona School of Sports AB,5567206239,27,"3,7","70,4","25,9",.,.,.,.,30,.,"83,3","16,7",.,.,.,.,2018
Sandåkerskolan,77747055,Landskrona,1282,Kommunal,Landskrona,2120001140,.,.,.,.,.,.,.,.,74,"6,8","71,6","21,6",.,.,.,.,2018
Seminarieskolan,41641029,Landskrona,1282,Kommunal,Landskrona,2120001140,20,"15,0","40,0","45,0",.,.,.,.,59,"8,5","67,8","23,7",51,"11,8","49,0","39,2",2018
Säbyholms Montessoriskola,42908219,Landskrona,1282,Enskild,Landskrona Montessoriförening Ek.Förening,7696002794,.,.,.,.,.,.,.,.,25,"4,0","56,0","40,0",.,.,.,.,2018
Västervångskolan,29541747,Landskrona,1282,Kommunal,Landskrona,2120001140,.,.,.,.,.,.,.,.,106,"21,7","55,7","22,6",.,.,.,.,2018
Centralskolan,24748604,Laxå,1860,Kommunal,Laxå,2120001918,55,"7,3","70,9","21,8",.,.,.,.,54,"11,1","85,2","3,7",.,.,.,.,2018
Lekebergsskolan 7-9,97648883,Lekeberg,1814,Kommunal,Lekeberg,2120002981,80,"16,3","47,5","36,3",.,.,.,.,76,"15,8","60,5","23,7",.,.,.,.,2018
Sammilsdalskolan F-9,61834375,Leksand,2029,Kommunal,Leksand,2120002163,68,"7,4","54,4","38,2",.,.,.,.,72,"19,4","72,2","8,3",.,.,.,.,2018
Åkerö skola F-9,69345097,Leksand,2029,Kommunal,Leksand,2120002163,47,"34,0","59,6","6,4",.,.,.,.,54,"37,0","59,3","3,7",.,.,.,.,2018
Alléskolan skolenhet Ask,51403955,Lerum,1441,Kommunal,Lerum,2120001447,42,"11,9","59,5","28,6",.,.,.,.,43,"27,9","72,1",.,.,.,.,.,2018
Alléskolan skolenhet Bok,57470446,Lerum,1441,Kommunal,Lerum,2120001447,66,"21,2","59,1","19,7",.,.,.,.,70,"30,0","68,6","1,4",.,.,.,.,2018
Lekstorpsskolan,10867785,Lerum,1441,Kommunal,Lerum,2120001447,18,"22,2","55,6","22,2",.,.,.,.,17,"23,5","58,8","17,6",.,.,.,.,2018
Ljungviksskolan skolenhet B,31733366,Lerum,1441,Kommunal,Lerum,2120001447,47,"23,4","59,6","17,0",.,.,.,.,44,"38,6","54,5","6,8",.,.,.,.,2018
Montessoriskolan Floda säteri,82651095,Lerum,1441,Enskild,Montessoriskolan Floda Säteri,8635006680,26,"19,2","76,9","3,8",.,.,.,.,28,"10,7","67,9","21,4",.,.,.,.,2018
Rydsbergsskolan grundskola,24103764,Lerum,1441,Kommunal,Lerum,2120001447,86,"3,5","45,3","51,2",.,.,.,.,90,"15,6","70,0","14,4",.,.,.,.,2018
Röselidsskolan skolenhet B,38539206,Lerum,1441,Kommunal,Lerum,2120001447,32,"12,5","59,4","28,1",.,.,.,.,30,"6,7","53,3","40,0",.,.,.,.,2018
Stenkulan 4-9,49419497,Lerum,1441,Kommunal,Lerum,2120001447,49,"4,1","69,4","26,5",.,.,.,.,50,"14,0","80,0","6,0",.,.,.,.,2018
Torpskolan skolenhet 1,21176313,Lerum,1441,Kommunal,Lerum,2120001447,76,"11,8","61,8","26,3",.,.,.,.,75,"17,3","68,0","14,7",.,.,.,.,2018
Torpskolan skolenhet 2,20361674,Lerum,1441,Kommunal,Lerum,2120001447,50,"8,0","62,0","30,0",.,.,.,.,50,"18,0","68,0","14,0",.,.,.,.,2018
Bikupan,74218950,Lessebo,0761,Kommunal,Lessebo,2120000613,73,"2,7","65,8","31,5",.,.,.,.,90,"2,2","83,3","14,4",18,"5,6","83,3","11,1",2018
Christinaskolan,46097781,Lidingö,0186,Enskild,Lidingö Skola AB,5568681810,50,"4,0","66,0","30,0",.,.,.,.,50,"32,0","64,0","4,0",.,.,.,.,2018
Futuraskolan International Kottla,36276828,Lidingö,0186,Enskild,Futuraskolan AB,5566095047,72,"9,7","87,5","2,8",.,.,.,.,74,"2,7","81,1","16,2",.,.,.,.,2018
Högsätra skola,49631077,Lidingö,0186,Kommunal,Lidingö,2120000191,69,"8,7","63,8","27,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Källängens skola,69329486,Lidingö,0186,Kommunal,Lidingö,2120000191,140,"7,9","57,9","34,3",.,.,.,.,.,.,.,.,.,.,.,.,2018
Käppala skola,20137688,Lidingö,0186,Kommunal,Lidingö,2120000191,67,"20,9","53,7","25,4",.,.,.,.,.,.,.,.,.,.,.,.,2018
Broholmskolan,98083121,Lidköping,1494,Enskild,Broholmskolans ekonomiska förening,7696081319,34,"8,8","67,6","23,5",.,.,.,.,34,"8,8","70,6","20,6",.,.,.,.,2018
Dalängskolan,37707717,Lidköping,1494,Kommunal,Lidköping,2120001694,113,"11,5","38,1","50,4",.,.,.,.,126,"12,7","61,1","26,2",.,.,.,.,2018
Fredriksdalskolan,25486432,Lidköping,1494,Kommunal,Lidköping,2120001694,.,.,.,.,.,.,.,.,102,"22,5","61,8","15,7",.,.,.,.,2018
Rudenschöldskolan,52152242,Lidköping,1494,Kommunal,Lidköping,2120001694,22,"4,5","45,5","50,0",.,.,.,.,113,"14,2","70,8","15,0",.,.,.,.,2018
Fuxernaskolan 7-9,22512947,Lilla Edet,1462,Kommunal,Lilla Edet,2120001496,78,"12,8","42,3","44,9",.,.,.,.,91,"11,0","42,9","46,2",.,.,.,.,2018
Fröviskolan,58663719,Lindesberg,1885,Kommunal,Lindesberg,2120002015,59,"6,8","57,6","35,6",.,.,.,.,65,"7,7","80,0","12,3",.,.,.,.,2018
Stadsskogsskolan,16882306,Lindesberg,1885,Kommunal,Lindesberg,2120002015,.,.,.,.,.,.,.,.,112,"16,1","75,9","8,0",.,.,.,.,2018
Storåskolan,88486410,Lindesberg,1885,Kommunal,Lindesberg,2120002015,29,"13,8","55,2","31,0",.,.,.,.,27,"7,4","74,1","18,5",.,.,.,.,2018
Arenaskolan,46165416,Linköping,0580,Kommunal,Linköping,2120000449,114,"7,0","57,0","36,0",.,.,.,.,116,"8,6","60,3","31,0",.,.,.,.,2018
Berzeliusskolan 4,59327275,Linköping,0580,Kommunal,Linköping,2120000449,188,"10,6","68,6","20,7",.,.,.,.,203,"31,5","67,0","1,5",15,.,"53,3","46,7",2018
Björkö friskola,78992223,Linköping,0580,Enskild,Stiftelsen Waldorfpedagogik i Vreta Kloster,8220027596,21,"28,6","71,4",.,.,.,.,.,18,"11,1","88,9",.,.,.,.,.,2018
Ekholmsskolan,96360048,Linköping,0580,Kommunal,Linköping,2120000449,96,"2,1","53,1","44,8",.,.,.,.,106,"9,4","78,3","12,3",.,.,.,.,2018
Elsa Brändströms skola,95720059,Linköping,0580,Kommunal,Linköping,2120000449,51,"2,0","80,4","17,6",.,.,.,.,83,"8,4","85,5","6,0",41,"14,6","70,7","14,6",2018
Folkungaskolan grundskola 7-9,65857121,Linköping,0580,Kommunal,Linköping,2120000449,94,"10,6","63,8","25,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Internationella Engelska Skolan Linköping,82086591,Linköping,0580,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,78,"11,5","46,2","42,3",.,.,.,.,112,"9,8","72,3","17,9",27,"25,9","33,3","40,7",2018
Kunskapsskolan Linköping,67505597,Linköping,0580,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,40,.,"52,5","47,5",.,.,.,.,49,.,"69,4","30,6",.,.,.,.,2018
Linghemsskolan,93274980,Linköping,0580,Kommunal,Linköping,2120000449,55,"1,8","52,7","45,5",.,.,.,.,55,"14,5","80,0","5,5",.,.,.,.,2018
Ljungsbro skola 7-9,85992138,Linköping,0580,Kommunal,Linköping,2120000449,73,"5,5","61,6","32,9",.,.,.,.,79,"6,3","73,4","20,3",.,.,.,.,2018
Malmslättsskolan - Tokarp,68326694,Linköping,0580,Kommunal,Linköping,2120000449,95,"8,4","73,7","17,9",.,.,.,.,97,"8,2","77,3","14,4",.,.,.,.,2018
Nya Munken,76521863,Linköping,0580,Enskild,Nya Munken Aktiebolag,5563475028,167,"4,2","53,3","42,5",.,.,.,.,174,"26,4","69,0","4,6",.,.,.,.,2018
Skäggetorpskolan,46577157,Linköping,0580,Kommunal,Linköping,2120000449,22,"13,6","36,4","50,0",.,.,.,.,63,"7,9","61,9","30,2",49,"12,2","67,3","20,4",2018
Thea Privata Grundskola Linköping,31658010,Linköping,0580,Enskild,Theducation AB,5565697082,69,"8,7","65,2","26,1",.,.,.,.,72,"4,2","81,9","13,9",.,.,.,.,2018
Tornhagsskolan 6-9,75688028,Linköping,0580,Kommunal,Linköping,2120000449,76,"18,4","59,2","22,4",.,.,.,.,93,"21,5","66,7","11,8",.,.,.,.,2018
Vittra Lambohov,26255239,Linköping,0580,Enskild,Vittraskolorna AB,5564586716,18,"5,6","61,1","33,3",.,.,.,.,19,.,"84,2","15,8",.,.,.,.,2018
Ånestadsskolan,59548402,Linköping,0580,Kommunal,Linköping,2120000449,.,.,.,.,.,.,.,.,26,.,"76,9","23,1",.,.,.,.,2018
Astradskolan 2,90628474,Ljungby,0781,Kommunal,Ljungby,2120000670,84,"16,7","70,2","13,1",.,.,.,.,100,"11,0","69,0","20,0",27,.,"77,8","22,2",2018
Kungshögsskolan 2,87262274,Ljungby,0781,Kommunal,Ljungby,2120000670,36,"5,6","69,4","25,0",.,.,.,.,43,"18,6","65,1","16,3",.,.,.,.,2018
Kungshögsskolan 3,96958960,Ljungby,0781,Kommunal,Ljungby,2120000670,55,"12,7","50,9","36,4",.,.,.,.,69,"13,0","69,6","17,4",15,.,"66,7","33,3",2018
Thoren Framtid i Ljungby,59021648,Ljungby,0781,Enskild,Thoren Framtid AB,5567497051,.,.,.,.,.,.,.,.,18,"16,7","83,3",.,.,.,.,.,2018
Åbyskolan 2,75853223,Ljungby,0781,Kommunal,Ljungby,2120000670,61,"13,1","57,4","29,5",.,.,.,.,65,"9,2","73,8","16,9",.,.,.,.,2018
Friskolan Vintergatan,62270371,Ljusdal,2161,Enskild,Friskolan Vintergatan Ekonomisk Förening,7696065718,33,"15,2","72,7","12,1",.,.,.,.,32,"9,4","71,9","18,8",.,.,.,.,2018
Färila skola,36425969,Ljusdal,2161,Kommunal,Ljusdal,2120002320,25,"12,0","56,0","32,0",.,.,.,.,30,"16,7","83,3",.,.,.,.,.,2018
Stenhamreskolan,38870809,Ljusdal,2161,Kommunal,Ljusdal,2120002320,80,"6,3","35,0","58,8",.,.,.,.,84,"6,0","66,7","27,4",.,.,.,.,2018
Öjeskolan,47378558,Ljusdal,2161,Kommunal,Ljusdal,2120002320,41,"9,8","51,2","39,0",.,.,.,.,42,"11,9","73,8","14,3",.,.,.,.,2018
Kyrkbacksskolan,82038420,Ljusnarsberg,1864,Kommunal,Ljusnarsberg,2120001959,35,"5,7","65,7","28,6",.,.,.,.,35,"17,1","77,1","5,7",.,.,.,.,2018
Bjärehovskolan,41254600,Lomma,1262,Kommunal,Lomma,2120001066,86,"2,3","75,6","22,1",.,.,.,.,85,"10,6","82,4","7,1",.,.,.,.,2018
Karstorpskolan Södra,92463760,Lomma,1262,Kommunal,Lomma,2120001066,54,"9,3","57,4","33,3",.,.,.,.,57,"8,8","71,9","19,3",.,.,.,.,2018
Montessoriskolan i Bjärred,52025747,Lomma,1262,Enskild,Montessori-Bjerred Ekonomisk Förening,7696026983,17,"5,9","76,5","17,6",.,.,.,.,16,"50,0","50,0",.,.,.,.,.,2018
Pilängskolan,15610637,Lomma,1262,Kommunal,Lomma,2120001066,61,"18,0","65,6","16,4",.,.,.,.,69,"30,4","69,6",.,.,.,.,.,2018
Rutsborgskolan,19570704,Lomma,1262,Kommunal,Lomma,2120001066,57,"10,5","63,2","26,3",.,.,.,.,59,"6,8","89,8","3,4",.,.,.,.,2018
Kyrkskolan 7-9,28230949,Ludvika,2085,Kommunal,Ludvika,2120002270,112,"1,8","52,7","45,5",.,.,.,.,129,"1,6","70,5","27,9",27,.,"74,1","25,9",2018
Lorensbergaskolan 7-9,47736072,Ludvika,2085,Kommunal,Ludvika,2120002270,98,"27,6","55,1","17,3",.,.,.,.,120,.,"86,7","13,3",.,.,.,.,2018
Bergskolan,72942852,Luleå,2580,Kommunal,Luleå,2120002742,91,"9,9","75,8","14,3",.,.,.,.,87,"32,2","60,9","6,9",.,.,.,.,2018
Björkskataskolan,89477984,Luleå,2580,Kommunal,Luleå,2120002742,100,"5,0","82,0","13,0",.,.,.,.,102,"7,8","74,5","17,6",.,.,.,.,2018
Hertsöskolan 7-9,15579589,Luleå,2580,Kommunal,Luleå,2120002742,51,"3,9","76,5","19,6",.,.,.,.,55,"25,5","61,8","12,7",.,.,.,.,2018
Kråkbergsskolan,46323920,Luleå,2580,Kommunal,Luleå,2120002742,.,.,.,.,.,.,.,.,51,"7,8","86,3","5,9",.,.,.,.,2018
Montessoriskolan,35085794,Luleå,2580,Kommunal,Luleå,2120002742,22,"9,1","72,7","18,2",.,.,.,.,24,"16,7","70,8","12,5",.,.,.,.,2018
Norrskenet Luleå,55520065,Luleå,2580,Enskild,Norrskenets Friskola Luleå AB,5590455076,22,"45,5","50,0","4,5",.,.,.,.,25,.,"88,0","12,0",.,.,.,.,2018
Nya Läroverket,82183259,Luleå,2580,Enskild,Nya läroverket Luleå AB,5566677927,43,"11,6","44,2","44,2",.,.,.,.,38,"10,5","76,3","13,2",.,.,.,.,2018
Nya Läroverket Bergnäset,52734580,Luleå,2580,Enskild,Nya läroverket Luleå AB,5566677927,34,"5,9","61,8","32,4",.,.,.,.,35,"8,6","85,7","5,7",.,.,.,.,2018
Residensskolan 7-9,73462793,Luleå,2580,Kommunal,Luleå,2120002742,74,"2,7","75,7","21,6",.,.,.,.,73,"15,1","74,0","11,0",.,.,.,.,2018
Råneskolan 7-9,22462490,Luleå,2580,Kommunal,Luleå,2120002742,37,"13,5","75,7","10,8",.,.,.,.,38,"23,7","73,7","2,6",.,.,.,.,2018
Stadsöskolan 7-9,95536453,Luleå,2580,Kommunal,Luleå,2120002742,74,"8,1","64,9","27,0",.,.,.,.,73,"9,6","72,6","17,8",.,.,.,.,2018
Tunaskolan 7-9,43539193,Luleå,2580,Kommunal,Luleå,2120002742,30,"3,3","86,7","10,0",.,.,.,.,33,"12,1","78,8","9,1",.,.,.,.,2018
Örnässkolan 7-9,20104143,Luleå,2580,Kommunal,Luleå,2120002742,38,"23,7","63,2","13,2",.,.,.,.,40,"25,0","72,5","2,5",.,.,.,.,2018
Freinetskolan i Lund,60492534,Lund,1281,Enskild,"Freinetskolan i Lund,Ideell Förening",8450030203,19,"5,3","68,4","26,3",.,.,.,.,18,.,"66,7","33,3",.,.,.,.,2018
Fågelskolan 4-9,64936034,Lund,1281,Kommunal,Lund,2120001132,43,"16,3","58,1","25,6",.,.,.,.,64,"20,3","68,8","10,9",20,.,"85,0","15,0",2018
Fäladsgården,54391347,Lund,1281,Kommunal,Lund,2120001132,96,"26,0","56,3","17,7",.,.,.,.,105,"37,1","59,0","3,8",.,.,.,.,2018
Genarps skola,83803124,Lund,1281,Kommunal,Lund,2120001132,48,"4,2","58,3","37,5",.,.,.,.,45,"17,8","77,8","4,4",.,.,.,.,2018
Gunnesboskolan 7-9,85762828,Lund,1281,Kommunal,Lund,2120001132,53,"22,6","39,6","37,7",.,.,.,.,57,"12,3","86,0","1,8",.,.,.,.,2018
