skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
Aspero Idrottsgymn. Göteborg,20319353,Göteborg,1480,5566363973,Aspero Friskolor AB,Enskild,"13,0","1,0","12,0","47,9","87,1",.,"15,1","0,1","1 810,0",2014
Bernadottegymnasiet,92194545,Göteborg,1480,2120001355,Göteborg,Kommunal,"8,9","0,5","8,4","36,2","100,0","3,6","22,5","0,1","1 880,0",2014
Bräckegymnasiet 1,88153340,Göteborg,1480,2120001355,Göteborg,Kommunal,"17,8",.,"17,8","35,7","96,3","11,2","13,5",.,.,2014
Bräckegymnasiet 2,94353434,Göteborg,1480,2120001355,Göteborg,Kommunal,"19,0",.,"19,0","25,3","80,7","7,9","12,3",.,.,2014
Bräckegymnasiet 3,98645196,Göteborg,1480,2120001355,Göteborg,Kommunal,"15,8","1,0","14,8","27,7","79,7","9,5","13,1",.,.,2014
Bräckegymnasiet 4,84978846,Göteborg,1480,2120001355,Göteborg,Kommunal,"26,8","1,0","25,8","61,2","92,2","15,5","8,2","0,8","281,3",2014
Burgården Utbildningscentrum 1,59396229,Göteborg,1480,2120001355,Göteborg,Kommunal,"22,2","1,0","21,2","81,1","87,7","2,8","15,0",.,.,2014
Burgården Utbildningscentrum 2,95165649,Göteborg,1480,2120001355,Göteborg,Kommunal,"25,5","1,0","24,5","68,7","90,0","12,3","8,9",.,.,2014
Burgården Utbildningscentrum 3,64740897,Göteborg,1480,2120001355,Göteborg,Kommunal,"30,0","1,0","29,0","63,7","88,6","9,5","8,5",.,.,2014
Burgården Utbildningscentrum 4,78979604,Göteborg,1480,2120001355,Göteborg,Kommunal,"9,8","1,3","8,5","62,4","84,7","11,8","12,5",.,.,2014
Burgården Utbildningscentrum 5,69626109,Göteborg,1480,2120001355,Göteborg,Kommunal,"19,7","1,0","18,7","64,2","93,3","5,3","16,8",.,.,2014
Cybergymnasiet Göteborg,85068812,Göteborg,1480,5565693297,Cybergymnasiet Göteborg AB,Enskild,"18,6","1,5","17,1","43,9","55,6",.,"12,5",.,.,2014
Donnergymnasiet,78397312,Göteborg,1480,5565408381,Donnergymnasiet AB,Enskild,"37,9","1,0","36,9","49,8","81,8","2,7","15,3","0,1","5 640,0",2014
Drottning Blankas Gymn. Göteborg,36444853,Göteborg,1480,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"19,9","1,0","18,9","59,6","75,1",.,"18,2",.,.,2014
Ester Mosessons gymnasium 1,15414001,Göteborg,1480,2120001355,Göteborg,Kommunal,"15,2","1,0","14,2","78,8","80,6",.,"13,7",.,.,2014
Ester Mosessons gymnasium 2,38311488,Göteborg,1480,2120001355,Göteborg,Kommunal,"13,0","1,0","12,0","50,0","100,0",.,"14,2",.,.,2014
Ester Mosessons gymnasium 3,34848695,Göteborg,1480,2120001355,Göteborg,Kommunal,"17,7","1,0","16,7","56,5","88,0",.,"8,3","0,5","278,0",2014
Framtidsgymnasiet i Göteborg,16819383,Göteborg,1480,5564781606,Framtidsgymnasiet i Göteborg AB,Enskild,"18,6","1,0","17,6","31,9","59,3",.,"15,0",.,.,2014
GTI:s gymnasieskola,89837629,Göteborg,1480,5562358993,Göteborgs Tekniska Institut AB,Enskild,"25,6","0,6","25,0","39,6","81,0",.,"16,1","0,2","2 010,0",2014
Göteborgregionens tekniska gy,53660780,Göteborg,1480,5565706768,Göteborgs Tekniska College AB,Enskild,"37,1","0,4","36,7","33,6","48,2",.,"9,1","0,1","3 350,0",2014
Göteborgs Högre Samskola gy.,88774402,Göteborg,1480,8572059197,Stiftelsen Göteborgs Högre Samskola,Enskild,"35,4","0,5","34,9","48,7","95,6",.,"15,3","0,3","1 668,8",2014
Handelsak. Yrkesh. o Gymnasium,12994441,Göteborg,1480,5567265979,IEAB International Education AB,Enskild,"7,8","0,5","7,3","16,4","68,5",.,"18,1",.,.,2014
Hermods Gymnasium Göteborg,75141151,Göteborg,1480,5560440017,Hermods AB,Enskild,"14,4","1,0","13,4","53,1","92,6",.,"22,0","0,3","986,7",2014
Hvitfeldtska gymnasiet 1,61701709,Göteborg,1480,2120001355,Göteborg,Kommunal,"22,8","1,0","21,8","53,4","93,1","4,6","23,7",.,.,2014
Hvitfeldtska gymnasiet 2,61469192,Göteborg,1480,2120001355,Göteborg,Kommunal,"28,4","1,0","27,4","40,1","90,7","7,3","8,7",.,.,2014
Hvitfeldtska gymnasiet 3,84306392,Göteborg,1480,2120001355,Göteborg,Kommunal,"29,4","1,0","28,4","49,6","96,5",.,"19,3",.,.,2014
Hvitfeldtska gymnasiet 4,28627819,Göteborg,1480,2120001355,Göteborg,Kommunal,"28,4","1,0","27,4","43,9","94,9",.,"17,2",.,.,2014
Hvitfeldtska gymnasiet 5,30086854,Göteborg,1480,2120001355,Göteborg,Kommunal,"17,9","1,0","16,9","53,3","77,2",.,"14,2","0,2","1 600,0",2014
Hvitfeldtska gymnasiet 6,50235617,Göteborg,1480,2120001355,Göteborg,Kommunal,"12,0","1,0","11,0","100,0","100,0","18,3","1,5",.,.,2014
IHGR-gymnasiet,26627862,Göteborg,1480,2120001355,Göteborg,Kommunal,"21,4","1,0","20,4","61,8","65,4","1,9","16,1","0,3","1 093,3",2014
Ingrid Segerstedts gymnasium,48847282,Göteborg,1480,8572088824,Stiftelsen Ingrid Segerstedts Gymnasium,Enskild,"16,5","1,0","15,5","49,8","98,1",.,"18,7",.,.,2014
International IT College of Sweden Gothenburg,72517762,Göteborg,1480,5563114445,Edinit AB,Enskild,"12,3","1,0","11,3","40,9","41,8","5,3","13,1","0,2","735,0",2014
IT-Gymnasiet Göteborg,79094701,Göteborg,1480,5565970471,IT Gymnasiet Sverige AB,Enskild,"26,7","1,0","25,7","41,7","74,3",.,"17,8","0,4","1 142,5",2014
JENSEN Gymnasium Göteborg,38684438,Göteborg,1480,5566358759,JENSEN education college AB,Enskild,"22,4",.,"22,4","52,9","90,2",.,"19,5","0,6","726,7",2014
Katrinelundsgymnasiet 1,31251822,Göteborg,1480,2120001355,Göteborg,Kommunal,"18,6","1,0","17,6","67,4","98,2","9,7","22,6","0,2","2 653,3",2014
Katrinelundsgymnasiet 2,90099336,Göteborg,1480,2120001355,Göteborg,Kommunal,"9,6","1,0","8,6","41,7","58,3","3,5",.,"0,2",.,2014
Katrinelundsgymnasiet 3,96590873,Göteborg,1480,2120001355,Göteborg,Kommunal,"23,1","1,0","22,1","62,3","83,3","2,7","15,0","0,2","2 206,7",2014
Katrinelundsgymnasiet 4,35647481,Göteborg,1480,2120001355,Göteborg,Kommunal,"15,5","0,8","14,7","49,2","89,8","7,5","14,7","0,1","2 160,0",2014
Katrinelundsgymnasiet 5,39549479,Göteborg,1480,2120001355,Göteborg,Kommunal,"11,3","0,5","10,8","44,1","96,7","5,6","23,6","0,1","2 540,0",2014
Kitas Ekonomi,73147554,Göteborg,1480,5567097117,Kitas Utbildning AB,Enskild,"12,1","0,5","11,6","44,8","77,5",.,"21,6","0,1","5 000,0",2014
Kitas Frisörgymnasium,65752105,Göteborg,1480,5567385330,Kimuo frisörutbildning AB,Enskild,"2,6","0,1","2,5","43,0","51,0",.,"14,9","0,0","1 233,3",2014
Kitas Gymnasium,69983740,Göteborg,1480,5567097117,Kitas Utbildning AB,Enskild,"14,8","0,3","14,5","41,8","81,1",.,"20,6","0,1","5 980,0",2014
Kitas Natur,66491596,Göteborg,1480,5567097117,Kitas Utbildning AB,Enskild,"10,9","0,3","10,6","22,7","80,7",.,"22,2","0,0","7 833,3",2014
Kunskapsgymnasiet Göteborg,12052268,Göteborg,1480,5565661815,Kunskapsskolan i Sverige AB,Enskild,"21,2","1,0","20,2","57,6","89,8",.,"17,4","0,2","1 755,0",2014
L M Engströms gymnasium,71597051,Göteborg,1480,8572003666,Peter Isaac Béens Utbildningsstiftelse,Enskild,"28,1","1,0","27,1","52,5","89,6",.,"19,0",.,.,2014
LBS Ljud & Bildskolan Göteborg,53231578,Göteborg,1480,5564851649,Ljud & Bildskolan LBS AB,Enskild,"6,8","0,5","6,3","44,4","65,1","1,6","14,4",.,.,2014
Lindholmens tekn gymnasium 1,11274830,Göteborg,1480,2120001355,Göteborg,Kommunal,"17,8","1,0","16,8","17,9","94,0",.,"15,5","0,6","435,0",2014
Lindholmens tekn gymnasium 2,51321260,Göteborg,1480,2120001355,Göteborg,Kommunal,"25,4","1,0","24,4","24,6","79,5","4,1","9,7",.,.,2014
Lindholmens tekn gymnasium 3,96279444,Göteborg,1480,2120001355,Göteborg,Kommunal,"23,6","1,0","22,6","39,7","86,7","12,4","14,8",.,.,2014
Lindholmens tekn gymnasium 4,53432700,Göteborg,1480,2120001355,Göteborg,Kommunal,"32,6","2,0","30,6","84,3","100,0","15,5","14,3",.,.,2014
"Mikael Elias Gymnasium, Göteborg",40690520,Göteborg,1480,5565583282,Mikael Elias Gymnasium AB,Enskild,"26,3","1,0","25,3","62,6","86,2",.,"18,8",.,.,2014
Motorbranschens Tekniska gymn.,61880907,Göteborg,1480,2120001355,Göteborg,Kommunal,"18,0","1,0","17,0","35,3","70,6",.,"14,0","0,2","1 190,0",2014
Munkebäcksgymnasiet 1,19300363,Göteborg,1480,2120001355,Göteborg,Kommunal,"18,1","1,0","17,1","58,2","81,6","3,3","1,1",.,.,2014
Munkebäcksgymnasiet 2,79729526,Göteborg,1480,2120001355,Göteborg,Kommunal,"13,4","1,0","12,4","56,3","100,0",.,"1,4",.,.,2014
NTI Mediegymnasiet,97382366,Göteborg,1480,5561203679,"Nordens Teknikerinstitut AB ,NTI,",Enskild,"21,6","1,0","20,6","50,1","79,7",.,"15,6",.,.,2014
Peabskolan Göteborg,88886610,Göteborg,1480,5564427432,Peabskolan AB,Enskild,"7,5","0,8","6,7","14,9","55,2",.,"16,7",.,.,2014
Plusgymnasiet i Göteborg,10638939,Göteborg,1480,5565789129,Plusgymnasiet AB,Enskild,"31,0","1,0","30,0","47,8","78,7","3,3","13,4","0,3","1 336,7",2014
Polhemsgymnasium 1,21505555,Göteborg,1480,2120001355,Göteborg,Kommunal,"19,7",.,"19,7","45,9","89,9","5,3","24,1",.,.,2014
Polhemsgymnasium 2,34336190,Göteborg,1480,2120001355,Göteborg,Kommunal,"18,2","1,0","17,2","64,4","100,0","5,8","27,2",.,.,2014
Polhemsgymnasium 3,21052710,Göteborg,1480,2120001355,Göteborg,Kommunal,"21,1","1,0","20,1","30,3","85,1",.,"9,6",.,.,2014
Praktiska Göteborg,88556189,Göteborg,1480,5562575786,Praktiska Sverige AB,Enskild,"17,0","2,0","15,0","39,5","48,1","1,5","13,4",.,.,2014
Realgymnasiet Göteborg,35236491,Göteborg,1480,5565715892,Lärande i Sverige AB,Enskild,"10,8","1,0","9,8","48,7","36,4",.,"13,2",.,.,2014
Rytmus Göteborg,69739484,Göteborg,1480,5564648979,Rytmus AB,Enskild,"24,5","1,5","23,0","44,8","83,7","1,7","10,4","0,2","1 190,0",2014
Schillerska gymnasiet 1,92887917,Göteborg,1480,2120001355,Göteborg,Kommunal,"14,5",.,"14,5","62,1","94,5","6,9","22,8",.,.,2014
Schillerska gymnasiet 2,88834120,Göteborg,1480,2120001355,Göteborg,Kommunal,"17,3",.,"17,3","42,9","100,0",.,"22,4","0,5","778,0",2014
Sigrid Rudebecks gymnasium,19207279,Göteborg,1480,5563571248,AB Sigrid Rudebecks Skola,Enskild,"25,6","1,0","24,6","51,8","91,9",.,"18,1",.,.,2014
Sjölins Gymnasium Göteborg,53640774,Göteborg,1480,5563758399,Vittragymnasiet AB,Enskild,"28,4","1,0","27,4","64,4","80,2",.,"17,0",.,.,2014
SKF Tekniska Gymnasium,58502307,Göteborg,1480,5562408301,Skf Sverige AB,Enskild,"10,1","0,6","9,5","49,2","56,6",.,"7,7","0,0","7 300,0",2014
Thoren Innovation School Göteborg,97177328,Göteborg,1480,5568902653,Thoren Innovation School AB,Enskild,"21,4","1,0","20,4","49,1","85,3",.,"13,5","0,3","808,8",2014
Älvstrandsgymnasiet,72127035,Hagfors,1783,2120001884,Hagfors,Kommunal,"35,7","1,0","34,7","44,2","64,6",.,"11,9","0,7","588,6",2014
Alléskolan 1,70969714,Hallsberg,1861,2220001180,Hallsberg,Kommunal,"28,9","1,0","27,9","31,2","80,8","1,8","9,2","0,7","367,1",2014
Alléskolan 2,85003442,Hallsberg,1861,2220001180,Hallsberg,Kommunal,"9,8","0,5","9,3","82,7","100,0","6,5","12,1","0,3","373,3",2014
Alléskolan 3,22752398,Hallsberg,1861,2220001180,Hallsberg,Kommunal,"42,4","1,0","41,4","20,6","45,6","1,8","8,8","0,3","1 206,7",2014
Alléskolan 4,68734112,Hallsberg,1861,2220001180,Hallsberg,Kommunal,"30,5","1,0","29,5","47,4","95,3","0,8","9,6","0,5","568,0",2014
Alléskolan 5,71922787,Hallsberg,1861,2220001180,Hallsberg,Kommunal,"21,1","0,7","20,5","53,4","73,8","2,4","6,6","0,3","540,0",2014
Alléskolan 6,71763475,Hallsberg,1861,2220001180,Hallsberg,Kommunal,"23,7",.,"23,7","55,2","85,7","2,1","9,1","0,9","252,9",2014
Ridsportsgymnasiet,50696507,Hallstahammar,1961,5566940408,Ridskolan Strömsholms Rs AB,Enskild,"8,0","0,3","7,7","85,9","53,6",.,"10,9","0,2","420,0",2014
Aspero Idrottsgymn. Halmstad,92507006,Halmstad,1380,5566363973,Aspero Friskolor AB,Enskild,"18,2","1,0","17,2","41,6","82,6",.,"15,5","0,1","2 670,0",2014
Drottning Blankas Gymn. Halmstad,44653962,Halmstad,1380,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"11,9","0,9","11,0","74,4","47,5",.,"15,2",.,.,2014
Kattegattgymnasiet 1,20100577,Halmstad,1380,2120001215,Halmstad,Kommunal,"30,0","1,0","29,0","45,1","81,3",.,"11,6",.,.,2014
Kattegattgymnasiet 2,81993306,Halmstad,1380,2120001215,Halmstad,Kommunal,"26,2","1,0","25,2","40,9","92,1",.,"10,6",.,.,2014
Kattegattgymnasiet 3,19051089,Halmstad,1380,2120001215,Halmstad,Kommunal,"17,9","1,0","16,9","55,0","94,1",.,"16,9",.,.,2014
Kattegattgymnasiet 4,29097621,Halmstad,1380,2120001215,Halmstad,Kommunal,"29,6","1,0","28,6","20,3","56,3",.,"7,4",.,.,2014
Klaragymnasiet,60923874,Halmstad,1380,2120001215,Halmstad,Kommunal,"12,3",.,"12,3","58,0","91,0","13,5","4,3",.,.,2014
LBS Ljud & Bildskolan Halmstad,47264019,Halmstad,1380,5564851649,Ljud & Bildskolan LBS AB,Enskild,"12,1","0,7","11,4","39,5","50,9",.,"16,9","0,1","3 860,0",2014
Sannarpsgymnasiet 1,35670336,Halmstad,1380,2120001215,Halmstad,Kommunal,"21,8","1,0","20,8","63,2","88,0",.,"12,9",.,.,2014
Sannarpsgymnasiet 2,50198492,Halmstad,1380,2120001215,Halmstad,Kommunal,"20,9","1,0","19,9","47,8","93,9","14,1","15,0",.,.,2014
Sannarpsgymnasiet 3,48438396,Halmstad,1380,2120001215,Halmstad,Kommunal,"19,7","1,0","18,7","49,4","97,3",.,"12,6",.,.,2014
Sannarpsgymnasiet 4,98052678,Halmstad,1380,2120001215,Halmstad,Kommunal,"21,9","1,0","20,9","79,2","93,0","14,3","6,7",.,.,2014
Sturegymnasiet 1,20099064,Halmstad,1380,2120001215,Halmstad,Kommunal,"25,8","1,0","24,8","56,1","82,4","4,0","8,1",.,.,2014
Sturegymnasiet 2,44341171,Halmstad,1380,2120001215,Halmstad,Kommunal,"12,4","1,0","11,4","55,5","98,0","5,7","13,6",.,.,2014
Sturegymnasiet 3,77130356,Halmstad,1380,2120001215,Halmstad,Kommunal,"20,8","1,0","19,8","53,8","84,8","2,2","13,3",.,.,2014
Sturegymnasiet 4,32671805,Halmstad,1380,2120001215,Halmstad,Kommunal,"3,9",.,"3,9","64,4","91,8",.,"13,4",.,.,2014
Fredrika Bremergy Fredrik,77815944,Haninge,0136,2120000084,Haninge,Kommunal,"48,1","1,0","47,1","25,2","58,8",.,"11,3","1,0","532,0",2014
Fredrika Bremergy Riksäpplet,79606767,Haninge,0136,2120000084,Haninge,Kommunal,"29,2","0,7","28,5","64,7","87,2",.,"17,3","1,9","258,9",2014
Fredrika Bremergymnasiet Fredrika,16313848,Haninge,0136,2120000084,Haninge,Kommunal,"119,6","1,0","118,6","59,3","82,2","1,7","12,5","2,5","591,6",2014
Tornedalsskolan,11294673,Haparanda,2583,2120002775,Haparanda,Kommunal,"27,1","0,8","26,3","51,4","86,7","2,7","9,4","1,0","248,0",2014
CLL/Gymnasieutbildningen,86212202,Heby,0331,2120002049,Heby,Kommunal,"1,0",.,"1,0","50,0","100,0",.,"19,0","0,1","158,3",2014
Martin Koch-gymnasiet,86327236,Hedemora,2083,2120002254,Hedemora,Kommunal,"37,1","1,0","36,1","50,0","78,5","4,8","9,7","1,4","251,4",2014
Campeon Frigymnasium,41745951,Helsingborg,1283,5566264056,Campeon Frigymnasium AB,Enskild,"9,1","0,8","8,3","66,9","78,9",.,"24,8","0,1","2 060,0",2014
Cultura Gymnasium,83137205,Helsingborg,1283,5567127237,Cultura Utbildning AB,Enskild,"10,6","1,0","9,6","35,6","85,3",.,"16,3",.,.,2014
Design & Construction College Helsingborg,28398531,Helsingborg,1283,5560440017,Hermods AB,Enskild,"28,6","1,0","27,6","51,2","68,1","2,9","14,1","1,0","389,0",2014
Drottning Blankas Gymn. Helsingborg,66335258,Helsingborg,1283,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"15,2","1,0","14,2","70,3","65,6","3,5","14,0","0,2","995,0",2014
Filbornaskolan,54172830,Helsingborg,1283,2120001157,Helsingborg,Kommunal,"49,2","1,0","48,2","52,1","87,2","7,8","12,7","1,0","613,0",2014
G.O. Kompetens Transportgymnasium,86310217,Helsingborg,1283,5566412549,G.O. Kompetens Transportgymnasium AB,Enskild,"11,0",.,"11,0","6,8","30,1",.,"11,0","1,0","120,0",2014
Helsingborgs Ridgymnasium,83085136,Helsingborg,1283,5565974671,Humeq Education AB,Enskild,"12,4","1,0","11,4","64,9","45,6",.,"11,7","0,2","665,0",2014
Helsingborgs Sportgymnasium,75458014,Helsingborg,1283,6111063951,Stefan Krisping,Enskild,"8,4","0,8","7,6","62,5","75,0",.,"12,0","0,2","455,0",2014
Impius gymnasium,65136104,Helsingborg,1283,5565523858,Impius Utvecklings AB,Enskild,"19,6","1,0","18,6","25,1","71,7",.,"4,6","0,3","286,7",2014
International school of Hbg/Gy,61826221,Helsingborg,1283,2120001157,Helsingborg,Kommunal,"15,3","0,5","14,8","69,6","32,1",.,"9,2","0,8","168,8",2014
JENSEN Gymnasium Helsingborg,56330385,Helsingborg,1283,5566358759,JENSEN education college AB,Enskild,"15,4","0,5","14,9","36,9","73,8",.,"15,7","0,5","468,0",2014
Johannes Hedberggymnasiet,20228162,Helsingborg,1283,8450003481,Stiftelsen Kursverksamheten Vid Lunds Universitet,Enskild,"18,1","1,0","17,1","61,9","83,6",.,"17,0","0,2","1 445,0",2014
LBS Ljud & Bildskolan Helsingborg,68240485,Helsingborg,1283,5564851649,Ljud & Bildskolan LBS AB,Enskild,"16,7","1,0","15,7","46,3","93,6",.,"20,3","0,5","636,0",2014
Mega Musik gymnasium,95046058,Helsingborg,1283,5565956553,Mega Musik Gymnasieskola AB,Enskild,"11,9","0,9","11,0","34,9","57,1",.,"10,4",.,.,2014
Nicolaiskolan,44392995,Helsingborg,1283,2120001157,Helsingborg,Kommunal,"52,0","1,0","51,0","65,4","90,2","3,9","12,1","1,8","341,7",2014
Olympiaskolan,53462953,Helsingborg,1283,2120001157,Helsingborg,Kommunal,"43,5","1,0","42,5","62,0","96,6","1,2","16,9","1,5","478,7",2014
Praktiska Helsingborg,69241230,Helsingborg,1283,5562575786,Praktiska Sverige AB,Enskild,"13,8","1,0","12,8","26,7","56,5",.,"8,9",.,.,2014
"ProCivitas Privata Gymnasium, Helsingborg",60730660,Helsingborg,1283,5566157102,ProCivitas Privata Gymnasium AB,Enskild,"20,1","1,0","19,1","33,1","81,9",.,"26,0","0,3","1 980,0",2014
Rönnowska skolan,80327946,Helsingborg,1283,2120001157,Helsingborg,Kommunal,"91,4","1,0","90,4","44,0","67,2","8,8","10,6","3,0","318,7",2014
Thoren Business School Helsingborg,82592568,Helsingborg,1283,5566139290,ThorenGruppen AB,Enskild,"12,7","1,0","11,7","49,8","98,3",.,"17,5",.,.,2014
Tycho Braheskolan,78875918,Helsingborg,1283,2120001157,Helsingborg,Kommunal,"30,0","2,0","28,0","65,9","85,7",.,"13,5",.,.,2014
Victum Gymnasium,78023197,Helsingborg,1283,5564889482,Victum Hälsogymnasium AB,Enskild,"12,7","1,0","11,7","41,6","84,1","8,6","13,6",.,.,2014
Kunskapskällan,86385479,Herrljunga,1466,2120001520,Herrljunga,Kommunal,"25,9","1,0","24,9","38,2","84,7","2,0","8,9","0,4","555,0",2014
Individuella programmet,53494028,Hjo,1497,2120001728,Hjo,Kommunal,"1,8","0,1","1,7","39,4","87,9",.,"12,1",.,.,2014
"Björkhagsskolan, gymnasium",40991561,Hofors,2104,2120002296,Hofors,Kommunal,"20,9","0,7","20,2","43,4","90,9","4,9","5,4","0,3","436,0",2014
Huddingegymnasiet,49862313,Huddinge,0126,2120000068,Huddinge,Kommunal,"41,6","1,0","40,6","64,5","87,3","2,5","13,2","2,0","268,5",2014
IT-Gymnasiet Södertörn,99838438,Huddinge,0126,5565970471,IT Gymnasiet Sverige AB,Enskild,"19,5","1,0","18,5","31,7","56,4",.,"17,1",.,.,2014
Sjödalsgymnasiet,42859669,Huddinge,0126,2120000068,Huddinge,Kommunal,"71,2","1,0","70,2","49,1","84,0",.,"14,3","2,0","500,5",2014
Sågbäcksgymnasiet,70923626,Huddinge,0126,2120000068,Huddinge,Kommunal,"65,9","1,0","64,9","49,1","89,2","4,6","8,9","3,0","191,3",2014
Yrkesgymnasiet Huddinge,92905347,Huddinge,0126,5566139290,ThorenGruppen AB,Enskild,"11,4","1,0","10,4","35,2","39,3",.,"14,6","0,4","380,0",2014
Östra gymnasiet,99592025,Huddinge,0126,2120000068,Huddinge,Kommunal,"49,6","1,0","48,6","47,8","81,3",.,"15,8","0,5","1 536,0",2014
Bromangymnasiet 1,34247736,Hudiksvall,2184,2120002379,Hudiksvall,Kommunal,"33,0","1,0","32,0","90,6","86,1",.,"15,5","0,9","550,0",2014
Bromangymnasiet 2,47550455,Hudiksvall,2184,2120002379,Hudiksvall,Kommunal,"53,9","1,0","52,9","45,7","67,3","0,9","10,9","1,7","339,4",2014
Bromangymnasiet 3,51510925,Hudiksvall,2184,2120002379,Hudiksvall,Kommunal,"27,1","0,8","26,3","27,0","86,2","2,3","7,4","1,0","193,0",2014
Glada Hudikgymnasiet,76877530,Hudiksvall,2184,5566174438,Hudik Friskoleutbildning AB,Enskild,"8,7","0,5","8,2","28,8","63,2",.,"11,9",.,.,2014
Hultsfreds gymnasium 1,47046103,Hultsfred,0860,2120000712,Hultsfred,Kommunal,"16,1","0,7","15,4","53,7","76,5","6,5","8,7","0,4","380,0",2014
Hultsfreds gymnasium 2,56664512,Hultsfred,0860,2120000712,Hultsfred,Kommunal,"24,6","0,6","24,0","56,4","53,8","4,2","10,6","0,4","632,5",2014
IM Gymnasieenhet,83501757,Hylte,1315,2120001207,Hylte,Kommunal,"5,8","0,5","5,3","71,7","81,1",.,"6,0","0,1","320,0",2014
Labora Gymnasium,43826783,Hylte,1315,5566657515,Laboraskolan AB,Enskild,"2,6","0,5","2,2","76,5","48,8",.,"6,5",.,.,2014
Traineegymnasiet,15938431,Hylte,1315,2120001207,Hylte,Kommunal,"9,6","0,5","9,1","30,9","97,8",.,"5,6","0,2","255,0",2014
Vildmarksgymnasiet,64270497,Hylte,1315,2120001207,Hylte,Kommunal,"9,0","0,5","8,5","14,2","36,1",.,"3,7","0,2","155,0",2014
Fridegårdsgymnasiet,58125096,Håbo,0305,2120000241,Håbo,Kommunal,"25,8","0,2","25,6","52,8","79,0","3,9","12,1","1,0","309,0",2014
Fridegårdsgymnasiet- kämpeenheten,82914148,Håbo,0305,2120000241,Håbo,Kommunal,"15,9","0,3","15,6","60,2","71,9","12,8","8,2","0,2","640,0",2014
Pihlskolan gymnasium,20620556,Hällefors,1863,2120001942,Hällefors,Kommunal,"17,8","0,9","16,9","64,9","69,7","5,9","8,0","0,4","335,0",2014
Fjällbyns gymnasieskola,77839100,Härjedalen,2361,5564001534,Fjällbyns Gymnasieskola i Funäsdalen AB,Enskild,"8,8","0,5","8,3","48,2","33,7",.,"0,4",.,.,2014
Härjedalens gymnasium,17173461,Härjedalen,2361,2120002510,Härjedalen,Kommunal,"25,1","1,0","24,1","58,9","76,4","2,5","7,4","0,5","356,0",2014
Härnösands gymnasium 1,55535552,Härnösand,2280,2120002403,Härnösand,Kommunal,"42,8","1,0","41,8","48,0","90,4","4,8","9,6","2,0","200,5",2014
Härnösands gymnasium2,19560192,Härnösand,2280,2120002403,Härnösand,Kommunal,"34,2","1,0","33,2","52,3","51,7",.,"11,3",.,.,2014
Hulebäcksgymnasiet 1,98053087,Härryda,1401,2120001264,Härryda,Kommunal,"23,1","1,0","22,1","43,0","95,5",.,"11,4",.,.,2014
Hulebäcksgymnasiet 2,92533079,Härryda,1401,2120001264,Härryda,Kommunal,"26,7","1,0","25,7","62,5","97,5","7,8","9,2",.,.,2014
Hulebäcksgymnasiet 3,61528940,Härryda,1401,2120001264,Härryda,Kommunal,"29,8","1,0","28,8","49,8","96,5",.,"17,5",.,.,2014
Hulebäcksgymnasiet 4,23681822,Härryda,1401,2120001264,Härryda,Kommunal,"18,6","1,0","17,6","72,8","100,0",.,"18,7",.,.,2014
Hulebäcksgymnasiet 5,66861851,Härryda,1401,2120001264,Härryda,Kommunal,"27,5","1,0","26,5","55,8","97,0",.,"14,7",.,.,2014
Hässleholms Tekniska skola,92858957,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"75,6","1,8","73,8","61,1","91,2","3,1","9,4","1,7","418,7",2014
Hässleholms Tekniska skola 3,18050549,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"12,3","0,2","12,1","47,4","91,7",.,"14,7","0,3","520,6",2014
Jacobsskolan,46660042,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"61,8","4,0","57,8","48,8","79,2","4,8","8,8","1,0","511,0",2014
Ungdomscentrum,23372675,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"10,4","1,0","9,4","66,7","83,1","10,6","11,0","2,0","52,8",2014
Kullagymnasiet,86296935,Höganäs,1284,2120001165,Höganäs,Kommunal,"37,4","1,9","35,6","51,3","91,3",.,"12,1","1,2","356,2",2014
Högsby gymnasieskola,67783774,Högsby,0821,2120000688,Högsby,Kommunal,"9,3","0,4","8,9","59,1","66,0","5,1","8,5","0,4","217,1",2014
"Hörby Lärcenter, Gymnasieutb.",95324620,Hörby,1266,2120001108,Hörby,Kommunal,"2,7",.,"2,7","59,1","100,0",.,"9,3",.,.,2014
Hörby Yrkesgymnasium,38917647,Hörby,1266,5568212939,Hörby Yrkesgymnasium AB,Enskild,"11,2","0,6","10,6","28,0","22,8",.,"7,4",.,.,2014
